ID,STAR,RA,DEC,GAL,SpC,TIC,AVECROWD,MK,JK,BR,RUWE,TEFF,e_TEFF,SLOGL,IQR,e_IQR,PSI,e_PSI,SKW,e_SKW,ZCR,e_ZCR,MSP,e_MSP,MSD,e_MSD,MSC,e_MSC,MSS,e_MSS
30,2MASSJ00375727-7255479,9.48865342518,-72.92998224653,SMC,B8(II),267432851,,-4.686958828960993,-0.024999618530273438,-0.02921581268310547,1.0509999990463257,,,,,,,,,,,,,,,,,,,
31,2MASSJ00380851-7330572,9.53549831591,-73.51587495809,SMC,B9(II),267434330,,-4.418958226238825,0.04599952697753906,0.07724285125732422,1.0959999561309814,,,,,,,,,,,,,,,,,,,
32,2MASSJ00393115-7249026,9.8798407785,-72.81741959756,SMC,B5(II),267494810,,-4.503958264385798,-0.14700031280517578,-0.06323719024658203,1.097000002861023,,,,,,,,,,,,,,,,,,,
33,2MASSJ00403126-7322297,10.13016362242,-73.37494742511,SMC,B9(II),267546792,,-4.766958752667048,0.05500030517578125,0.08108329772949219,0.9980000257492065,,,,,,,,,,,,,,,,,,,
34,BD+6370,10.185805,63.916638,MW,B0Ib,284604570,0.90915996,-4.5015116106431385,0.24700021743774414,1.0106563568115234,0.9380000233650208,27100.0,1250.0,4.04476701346491,0.01042216731002554,0.00010043528163805604,1.495527462753355,0.21084210214923993,-0.1624730655022858,0.14314525661616992,0.02535519899706031,0.00651731096309905,1.059882985068984,0.028662681819682012,0.3705703019204919,0.028139442363841888,-0.00644867832070273,0.002135537853725625,0.08450994090220494,0.007281427473519314
35,2MASSJ00412000-7335125,10.33331091901,-73.58680752652,SMC,B9(II),267547448,,-4.3889584932676335,0.0279998779296875,0.10512351989746094,1.0440000295639038,,,,,,,,,,,,,,,,,,,
36,2MASSJ00415980-7337257,10.49914087234,-73.62377791258,SMC,B9(II),394213487,,-3.913958111797907,0.01900005340576172,0.06331729888916016,1.2289999723434448,,,,,,,,,,,,,,,,,,,
37,2MASSJ00422399-7316520,10.59999235111,-73.28108132181,SMC,B3I,394214983,,-4.516958752667048,-0.0989999771118164,-0.185882568359375,0.9380000233650208,,,,,,,,,,,,,,,,,,,
38,2MASSJ00431164-7323109,10.79852475006,-73.38631824171,SMC,B8Ia+,394214422,0.7140755649999999,-7.465958157574274,0.17599964141845703,0.13855934143066406,0.9139999747276306,,,,0.0113195861922577,0.00333658407907933,1.126127122884517,0.22328894847150488,-0.1092895231701728,0.1978993702874823,0.1184580151881476,0.03266632343619099,1.052110718143187,0.5536193313121618,0.1431340716466637,0.03271806113551002,0.00817767518893674,0.0012094497678370119,0.02303101685871144,0.010339268242242045
39,2MASSJ00432007-7344470,10.83361650327,-73.74634454243,SMC,B8(II),394213113,,-4.096958676373102,-0.16699981689453125,-0.029517173767089844,1.003999948501587,,,,,,,,,,,,,,,,,,,
40,[M2002]SMC3273,10.92204,-73.53439,SMC,B9(II),180205995,,-4.882957974468805,0.08999919891357422,0.17108535766601562,0.9900000095367432,,,,,,,,,,,,,,,,,,,
41,2MASSJ00435180-7324465,10.96582989305,-73.41287520008,SMC,B9(II),180206058,,-3.5839581880918523,-0.27900028228759766,0.08497428894042969,1.0019999742507935,,,,,,,,,,,,,,,,,,,
42,2MASSJ00435316-7301071,10.97156570811,-73.01860057984,SMC,B9(II),180213146,,-4.46495870689068,-0.09599971771240234,0.12104606628417969,1.0069999694824219,,,,,,,,,,,,,,,,,,,
43,2MASSJ00435803-7330301,10.99171624767,-73.50840709828,SMC,B5(II),180206001,,-4.322958508526423,-0.07499980926513672,-0.11376380920410156,1.0010000467300415,,,,,,,,,,,,,,,,,,,
44,2MASSJ00442398-7312567,11.10002124954,-73.21573091139,SMC,B9(II),180212906,,-4.288958111797907,0.05999946594238281,0.08270835876464844,0.953000009059906,,,,,,,,,,,,,,,,,,,
45,BD+6476,11.214259,65.265246,MW,B1Ib,420552407,0.9710746100000001,-4.336347741539861,0.14999961853027344,0.8371086120605469,0.9089999794960022,23300.0,1700.0,3.8723135340713633,0.007475537480786443,0.0018252914305776358,1.456546146387568,0.07819742966594345,-0.5834203445532904,0.04372642439530233,0.03153065422388669,0.005794384656362147,1.105441432755669,0.25224484745596826,0.3810659384529425,0.01685381067621225,-0.00615778540592152,0.0011505453805774521,0.08691263886625303,0.0034039366579482477
46,2MASSJ00450332-7338322,11.26379041016,-73.64223203789,SMC,B2(II),180417315,,-4.609958210980036,0.19299983978271484,-0.13374614715576172,1.350000023841858,,,,,,,,,,,,,,,,,,,
47,BD+6389,11.30366,64.391921,MW,B1Ib,420552169,0.67791086,-4.266194035118367,0.23599958419799805,0.8617658615112305,1.100000023841858,25400.0,1800.0,3.9222247164470403,0.01100440300069749,,1.464390969923181,,1.565823453919057,,0.02281772353409392,,0.3355544255783355,,0.2349313676400907,,-0.00157808099253278,,0.05426463263064629,
48,2MASSJ00452931-7357579,11.37192223534,-73.96596257029,SMC,B9(II),180413043,,-3.1069589052549382,0.3670005798339844,0.05312347412109375,0.9639999866485596,,,,,,,,,,,,,,,,,,,
49,2MASSJ00453421-7346230,11.39249718082,-73.77304030958,SMC,B8(II),180417289,,-4.360958615337946,-0.024999618530273438,-0.018032073974609375,1.003000020980835,,,,,,,,,,,,,,,,,,,
50,2MASSJ00454203-7331378,11.42504743354,-73.52713314749,SMC,B8(II),180413285,,-3.5109582338682195,-0.06300067901611328,0.02989482879638672,0.9610000252723694,,,,,,,,,,,,,,,,,,,
51,2MASSJ00454280-7309496,11.42838624627,-73.16376279199,SMC,B9(II),180206420,,-4.045958081280329,0.11100006103515625,0.2070159912109375,0.9750000238418579,,,,,,,,,,,,,,,,,,,
52,2MASSJ00454698-7339547,11.44566766991,-73.66519375001,SMC,B3Ia,180417320,,-6.146958867107966,-0.07999992370605469,-0.0576171875,0.9160000085830688,,,,,,,,,,,,,,,,,,,
53,2MASSJ00455525-7305126,11.48021759132,-73.08682473247,SMC,B9(II),180213206,,-3.960958043133356,-0.14300060272216797,0.16102981567382812,1.0089999437332153,,,,,,,,,,,,,,,,,,,
